# Position data for LJ Ar in 256 atom cell		

256 atoms		
1 atom types				
241	1	4.6488	4.6488	0
242	1	5.4236	5.4236	0
243	1	5.4236	4.6488	0.7748
244	1	4.6488	5.4236	0.7748
245	1	4.6488	4.6488	1.5496
246	1	5.4236	5.4236	1.5496
247	1	5.4236	4.6488	2.3244
248	1	4.6488	5.4236	2.3244
249	1	4.6488	4.6488	3.0992
250	1	5.4236	5.4236	3.0992
251	1	5.4236	4.6488	3.874
252	1	4.6488	5.4236	3.874
253	1	4.6488	4.6488	4.6488
254	1	5.4236	5.4236	4.6488
255	1	5.4236	4.6488	5.4236
256	1	4.6488	5.4236	5.4236
